City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,belmonte,-15.8631,-38.8828,25.42,85,1,3.62,BR,1675469334
84,shirdi,19.7667,74.4833,16.59,38,85,0.93,IN,1675469233
85,saint anthony,45.0205,-93.218,-15.95,62,100,5.14,US,1675469389
86,melo,-32.3667,-54.1833,19.5,89,96,5.37,UY,1675469389
87,ponta do sol,32.6667,-17.1,15.62,52,35,2.55,PT,1675469390
88,sola,-13.8833,167.55,28.25,70,72,1.21,VU,1675469390
89,kapaa,22.0752,-159.319,23.6,77,100,6.69,US,1675469391
90,vila velha,-20.3297,-40.2925,25.97,85,0,5.14,BR,1675469097
91,butaritari,3.0707,172.7902,27.75,76,10,7.33,KI,1675469391
92,upernavik,72.7868,-56.1549,-26.17,100,100,3.51,GL,1675469391
93,yellowknife,62.456,-114.3525,-23.58,69,72,2.24,CA,1675469254
94,saran,47.9501,1.876,8.23,91,100,2.06,FR,1675469392
95,arraial do cabo,-22.9661,-42.0278,25.07,87,56,8.74,BR,1675469392
96,adet,11.2644,37.4888,14.67,50,60,0.98,ET,1675469392
97,te anau,-45.4167,167.7167,25.73,51,16,1.59,NZ,1675469393
98,khatanga,71.9667,102.5,-33.91,100,84,1.8,RU,1675469393
99,radstadt,47.3833,13.45,2.33,98,100,5.2,AT,1675469394
100,saskylakh,71.9167,114.0833,-42.4,100,72,1.77,RU,1675469394
101,trinidad,-14.8333,-64.9,21.46,98,100,1.56,BO,1675469395
102,marawi,7.9986,124.2928,20.8,76,71,0.48,PH,1675469395
103,bonthe,7.5264,-12.505,25.44,90,1,3.06,SL,1675469396
104,bredasdorp,-34.5322,20.0403,17.59,84,0,2.76,ZA,1675469396
105,huron,41.1501,-82.5499,-9.62,71,91,4.94,US,1675469396
106,hamilton,39.1834,-84.5333,-4.75,57,0,3.09,US,1675469372
107,hobart,-42.8794,147.3294,15.03,87,75,4.63,AU,1675469173
108,puerto ayora,-0.7393,-90.3518,26.97,87,82,3.13,EC,1675469397
109,nyurba,63.2842,118.3319,-32.17,99,100,1.27,RU,1675469397
110,kaitangata,-46.2817,169.8464,23.6,62,12,3.44,NZ,1675469397
111,ostrovnoy,68.0531,39.5131,-12.66,95,99,3.78,RU,1675469398
112,east london,-33.0153,27.9116,22.87,82,90,4.76,ZA,1675469398
113,nuuk,64.1835,-51.7216,-9.66,79,100,7.72,GL,1675469313
114,hirara,24.8,125.2833,18.99,75,88,6.29,JP,1675469399
115,banda aceh,5.5577,95.3222,24.96,86,100,2.28,ID,1675469399
116,bilma,18.6853,12.9164,20.03,15,18,2.98,NE,1675469399
117,college,64.8569,-147.8028,-13.03,78,75,1.54,US,1675469241
118,hasaki,35.7333,140.8333,5.16,73,98,3.15,JP,1675469400
119,ketchikan,55.3422,-131.6461,2.5,98,100,1.68,US,1675469400
120,vrangel,42.7297,133.0839,-7.38,58,73,2.33,RU,1675469401
121,kargasok,59.0556,80.8572,-17.31,100,99,0.74,RU,1675469401
122,manokwari,-0.8667,134.0833,27.4,69,100,0.76,ID,1675469402
123,kawalu,-7.3817,108.2082,23.56,88,100,0.52,ID,1675469402
124,lebu,-37.6167,-73.65,17.61,75,0,8.94,CL,1675469403
125,mahebourg,-20.4081,57.7,24.03,83,23,1.46,MU,1675469404
126,turochak,52.2576,87.1224,-6.0,97,100,0.24,RU,1675469404
127,new norfolk,-42.7826,147.0587,14.84,75,100,0.89,AU,1675469405
128,hay river,60.8156,-115.7999,-19.6,98,100,2.27,CA,1675469405
129,henties bay,-22.116,14.2845,17.51,86,64,2.41,NA,1675469405
130,mednogorskiy,43.9178,41.1825,-2.07,63,56,2.45,RU,1675469406
131,priargunsk,50.3691,119.1012,-30.45,100,99,0.75,RU,1675469406
132,beloha,-25.1667,45.05,22.43,88,93,3.95,MG,1675469407
133,swellendam,-34.0226,20.4417,19.37,72,0,1.71,ZA,1675469407
134,rio gallegos,-51.6226,-69.2181,16.55,47,28,13.9,AR,1675469408
135,ahmadpur sial,30.6754,71.7483,14.03,38,0,2.34,PK,1675469408
136,chokurdakh,70.6333,147.9167,-26.53,99,100,2.37,RU,1675469408
137,coquimbo,-29.9533,-71.3436,17.85,88,40,3.09,CL,1675469409
138,bathsheba,13.2167,-59.5167,26.34,73,40,7.2,BB,1675469409
139,bay roberts,47.5999,-53.2648,3.36,96,100,1.34,CA,1675469410
140,studena,49.1852,15.2869,3.23,90,99,4.47,CZ,1675469410
141,great yarmouth,52.6083,1.7305,9.17,90,89,4.78,GB,1675469411
142,severo-kurilsk,50.6789,156.125,-2.09,85,99,4.58,RU,1675469339
143,tigil,57.8,158.6667,-21.57,97,52,0.51,RU,1675469411
144,san quintin,30.4833,-115.95,16.53,55,82,6.4,MX,1675469412
145,pingdingshan,33.7385,113.3012,2.43,65,100,1.04,CN,1675469240
146,pombas,17.1503,-25.0201,19.67,74,98,6.9,CV,1675469413
147,cardenas,23.0375,-81.2047,23.42,77,5,4.46,CU,1675469413
148,kholodnyy,62.7167,147.95,-34.22,100,99,0.54,RU,1675469414
149,baruun-urt,46.6806,113.2792,-19.46,86,8,3.54,MN,1675469415
150,fethiye,36.6217,29.1164,3.93,76,20,3.16,TR,1675469415
151,riyadh,24.6877,46.7219,9.08,51,0,2.55,SA,1675469179
152,dingle,10.9995,122.6711,24.7,88,100,4.64,PH,1675469415
153,senanga,-16.1167,23.2667,19.91,92,100,1.31,ZM,1675469416
154,wajir,1.7471,40.0573,24.84,65,62,6.13,KE,1675469416
155,ulaanbaatar,47.9077,106.8832,-18.94,83,19,1.73,MN,1675469326
